amc,scheme_id,scheme_name,category,source_url,last_ingested_at
Tata Mutual Fund,tata-small-cap-fund-direct-growth,Tata Small Cap Fund Direct Growth,Equity Small Cap,https://groww.in/mutual-funds/tata-small-cap-fund-direct-growth,2026-06-18T19:37:29.249985+00:00
Tata Mutual Fund,tata-digital-india-fund-direct-growth,Tata Digital India Fund Direct Growth,Equity Thematic,https://groww.in/mutual-funds/tata-digital-india-fund-direct-growth,2026-06-18T19:37:29.731055+00:00
Tata Mutual Fund,tata-silver-etf-fof-direct-growth,Tata Silver ETF FoF Direct Growth,Commodities Silver,https://groww.in/mutual-funds/tata-silver-etf-fof-direct-growth,2026-06-18T19:37:30.172118+00:00
Tata Mutual Fund,tata-ethical-fund-direct-growth,Tata Ethical Fund Direct Growth,Equity Thematic,https://groww.in/mutual-funds/tata-ethical-fund-direct-growth,2026-06-18T19:37:30.636420+00:00
Tata Mutual Fund,tata-arbitrage-fund-direct-growth,Tata Arbitrage Fund Direct Growth,Hybrid Arbitrage,https://groww.in/mutual-funds/tata-arbitrage-fund-direct-growth,2026-06-18T19:37:31.286555+00:00
Tata Mutual Fund,tata-nifty-capital-markets-index-fund-direct-growth,Tata Nifty Capital Markets Index Fund Direct Growth,Equity Thematic,https://groww.in/mutual-funds/tata-nifty-capital-markets-index-fund-direct-growth,2026-06-18T19:37:31.755871+00:00
Tata Mutual Fund,tata-resources-energy-fund-direct-growth,Tata Resources & Energy Fund Direct Growth,Equity Sectoral,https://groww.in/mutual-funds/tata-resources-energy-fund-direct-growth,2026-06-18T19:37:32.222257+00:00
Tata Mutual Fund,tata-elss-fund-direct-growth,Tata ELSS Fund Direct Growth,ELSS,https://groww.in/mutual-funds/tata-elss-fund-direct-growth,2026-06-18T19:37:32.828925+00:00
Tata Mutual Fund,tata-multicap-fund-direct-growth,Tata Multicap Fund Direct Growth,Equity Multicap,https://groww.in/mutual-funds/tata-multicap-fund-direct-growth,2026-06-18T19:37:33.442217+00:00
Tata Mutual Fund,tata-ultra-short-term-fund-direct-growth,Tata Ultra Short Term Fund Direct Growth,Debt Ultra Short Duration,https://groww.in/mutual-funds/tata-ultra-short-term-fund-direct-growth,2026-06-18T19:37:33.902994+00:00
Tata Mutual Fund,tata-mid-cap-direct-plan-growth,Tata Mid Cap Direct Plan Growth,Equity Mid Cap,https://groww.in/mutual-funds/tata-mid-cap-direct-plan-growth,2026-06-18T19:37:34.462592+00:00
Tata Mutual Fund,tata-flexi-cap-fund-direct-growth,Tata Flexi Cap Fund Direct Growth,Equity Flexi Cap,https://groww.in/mutual-funds/tata-flexi-cap-fund-direct-growth,2026-06-18T19:37:35.303595+00:00
Tata Mutual Fund,tata-large-cap-fund-direct-growth,Tata Large Cap Fund Direct Growth,Equity Large Cap,https://groww.in/mutual-funds/tata-large-cap-fund-direct-growth,2026-06-18T19:37:35.899897+00:00
Tata Mutual Fund,tata-floater-fund-direct-growth,Tata Floater Fund Direct Growth,Debt Floater,https://groww.in/mutual-funds/tata-floater-fund-direct-growth,2026-06-18T19:37:36.462672+00:00
Tata Mutual Fund,tata-bse-sensex-index-direct,Tata BSE Sensex Index Direct,Equity Index,https://groww.in/mutual-funds/tata-bse-sensex-index-direct,2026-06-18T19:37:37.064808+00:00
